Group,Performance ,Productivity ,Effectiveness,Interaction,Mental,Easy,Job,Norm,Voluntariness ,Output,Understand,Benefit ,Intention,Continue
Student,2,5,4,4,4,4,5,4,5,4,4,5,4,5
Student,5,5,5,4,4,4,4,2,4,4,4,4,5,5
Student,5,5,5,3,1,4,5,3,5,4,4,5,5,5
Student,5,5,5,4,4,3,5,3,5,4,4,5,5,5
Student,4,5,5,4,4,4,5,3,4,3,3,4,4,4
Student,5,5,5,4,2,4,5,5,5,4,4,5,5,5
Student,4,5,4,5,5,5,5,3,5,4,5,5,5,5
Student,5,5,4,4,2,4,5,2,4,4,4,4,5,5
Student,4,4,4,3,3,3,4,1,3,3,3,3,3,3
Student,1,1,1,1,2,5,1,5,5,5,5,5,5,5
Student,5,5,5,4,5,5,5,3,4,2,3,4,5,5
Student,3,3,3,4,4,4,4,3,4,3,4,4,4,4
Student,5,5,5,5,2,5,5,4,1,5,5,4,5,5
Student,5,5,5,5,2,4,4,5,5,5,5,5,5,5
Student,5,5,5,4,2,4,5,2,5,4,4,4,4,4
Student,5,5,5,4,2,3,4,2,4,3,4,4,4,4
Student,4,4,4,4,3,4,4,3,5,4,5,5,5,5
Student,3,2,3,4,2,3,4,3,4,2,4,4,4,4
Student,4,4,4,5,2,5,4,3,5,4,4,4,5,5
Student,5,4,4,5,2,5,5,4,3,4,5,5,5,5
Student,5,5,5,4,3,4,5,2,5,4,4,5,5,5
Student,3,3,3,3,2,4,4,3,2,3,3,4,3,4
Student,5,5,5,3,2,4,5,5,4,3,3,3,3,3
Student,5,5,5,5,5,5,5,5,5,3,5,5,5,5
Student,5,5,5,5,5,5,5,3,4,4,5,5,5,5
Student,5,5,5,3,2,3,5,2,4,4,4,4,4,4
Student,5,5,4,4,4,4,4,4,4,4,4,4,4,4
Student,5,5,5,4,4,4,5,2,5,4,4,5,5,4
Student,5,5,5,5,5,5,5,3,5,4,4,5,5,5
Student,4,4,4,4,4,4,5,2,5,4,4,4,4,4
Student,5,5,5,5,1,5,5,5,5,5,5,5,5,5
Student,4,4,4,5,5,5,5,1,5,4,5,5,5,5
Student,5,4,5,5,5,5,5,3,5,5,5,3,5,5
Student,5,5,5,5,4,5,5,3,5,4,5,5,5,5
Student,5,5,5,5,4,5,5,4,5,4,5,5,5,5
Student,4,5,4,4,2,4,5,3,3,4,4,4,4,4
Student,5,5,4,4,4,5,5,4,5,5,5,5,5,5
Student,5,5,5,4,2,4,5,4,4,4,5,5,4,4
Student,4,5,3,4,3,5,4,3,4,3,5,4,4,3
Student,4,3,2,4,5,4,5,4,4,4,4,4,4,4
Student,5,5,5,5,3,5,5,3,5,5,5,5,5,5
Student,4,4,5,4,4,4,4,3,4,4,3,4,4,4
Student,5,4,4,4,4,3,5,2,5,2,2,2,4,4
Student,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,5,5,5,4,2,4,4,4,5,4,4,5,4,4
Student,1,1,1,3,3,3,2,3,4,1,3,1,1,1
Student,3,4,3,4,5,3,3,4,5,4,3,3,4,4
Student,5,5,5,4,4,5,5,5,4,4,4,5,5,5
Student,5,4,1,4,2,4,4,2,4,3,4,5,5,5
Student,4,5,4,4,3,4,3,4,4,4,4,5,5,5
Student,1,1,1,2,5,2,1,4,5,1,1,1,1,1
Student,5,5,5,3,1,3,5,3,4,3,3,3,5,5
Student,4,4,5,5,5,5,4,3,4,4,4,4,4,4
Student,1,5,4,4,2,4,5,3,5,4,4,4,4,4
Student,5,5,5,5,5,5,4,4,5,4,5,5,5,5
Student,4,5,4,4,2,4,5,3,5,4,4,4,5,5
Student,4,5,5,4,4,4,5,3,4,3,3,4,4,4
Student,4,5,4,5,5,5,5,2,5,4,4,4,5,5
Student,5,5,5,5,2,4,5,4,3,4,5,5,3,4
Student,5,5,3,5,5,1,5,2,5,4,5,5,5,5
Student,5,5,5,4,1,5,5,4,5,3,4,4,5,5
Student,5,4,5,5,5,5,5,5,5,4,4,5,5,5
Student,5,5,5,5,2,5,5,3,4,4,4,4,4,4
Student,5,5,5,5,2,5,5,1,5,4,5,5,5,5
Student,1,4,3,4,3,2,4,3,5,1,3,4,1,1
Teacher,3,4,2,5,3,4,3,4,5,3,5,5,5,5
Teacher,4,4,4,3,2,3,4,3,4,4,3,4,4,4
Teacher,1,1,1,1,1,2,1,4,5,4,5,5,5,5
Teacher,4,5,5,4,2,4,5,4,5,4,5,5,5,5
Teacher,4,4,4,3,2,4,4,4,4,4,4,4,5,5
